Platform,Views,Likes,Shares,Comments,Engagement_Level
Instagram,47819,9418,1820,2397,High
Instagram,74770,4844,1695,6926,High
Twitter,92055,17731,3282,1096,High
Instagram,27966,2349,561,885,High
YouTube,82709,6885,1010,3163,High
YouTube,60889,4546,1841,4830,High
YouTube,27987,3158,1300,2778,High
Instagram,79714,3131,3708,2221,Medium
YouTube,59348,6837,1053,5226,High
Instagram,25596,2890,687,2147,High
Instagram,34174,5288,388,900,High
Twitter,65106,10963,3241,2795,High
YouTube,70967,6648,3482,3116,High
Twitter,60182,4058,1975,5893,High
YouTube,94300,5589,3811,2092,High
Twitter,88163,4141,3177,7134,High
YouTube,40310,844,1211,1481,Medium
YouTube,57088,4285,206,4249,High
Instagram,9906,607,230,444,High
YouTube,37914,7340,1291,2272,High
YouTube,46379,5378,1586,3900,High
Instagram,79612,6049,1535,6480,High
Instagram,38650,4649,1822,3374,High
Instagram,47881,1745,440,510,Medium
Instagram,47413,4474,1209,3354,High
Instagram,7012,904,244,128,High
YouTube,51115,5259,1797,2274,High
YouTube,8151,703,267,465,High
YouTube,58716,11674,850,2540,High
Twitter,94747,16794,819,5150,High
Instagram,93653,12029,3011,9334,High
Instagram,37378,4417,1135,667,High
Instagram,43652,5584,427,3019,High
Twitter,73430,3542,2610,3129,High
YouTube,14467,1230,337,255,High
Instagram,32010,560,1079,642,Medium
Instagram,55691,5588,2340,5300,High
Instagram,65157,7374,607,5770,High
YouTube,13289,707,25,1211,High
Twitter,45976,8880,1801,4560,High
Twitter,44596,8151,1376,1105,High
Instagram,24171,3558,852,937,High
Instagram,87365,9727,3675,5991,High
Twitter,45139,7912,1820,2300,High
Instagram,49713,1731,2390,2224,High
YouTube,30734,4923,837,1198,High
Instagram,73588,2481,1835,4518,High
Instagram,64646,10401,1337,3858,High
Instagram,4654,290,39,94,Medium
Instagram,90022,15902,2615,4484,High
Twitter,19743,3738,287,1136,High
Twitter,49368,1889,2278,2921,High
Instagram,91025,8912,2692,2272,High
YouTube,75172,14762,2258,5676,High
Twitter,7441,757,136,55,High
Twitter,25611,4458,90,991,High
YouTube,13149,1602,33,1040,High
Twitter,60189,4894,1308,3525,High
Twitter,22675,1457,116,675,Medium
Instagram,72031,3501,2213,5115,High
Instagram,43668,6757,1928,2572,High
YouTube,14673,1224,649,1183,High
YouTube,77666,8321,2585,5811,High
YouTube,89204,9236,1012,5616,High
Twitter,81758,9785,3539,4200,High
YouTube,66429,11589,2950,1172,High
YouTube,24669,4843,262,735,High
YouTube,35068,3066,1302,1571,High
Instagram,89789,15015,1350,5560,High
Twitter,10435,1620,420,561,High
YouTube,95088,11312,4741,3078,High
YouTube,53249,10205,131,298,High
Instagram,38384,1845,1726,2001,High
Instagram,82929,2550,2613,2664,Medium
YouTube,77153,13289,3757,5770,High
Instagram,76388,7137,1816,555,High
YouTube,32401,5538,1377,1962,High
YouTube,72831,13086,295,6878,High
Instagram,35084,767,611,756,Medium
Instagram,56826,10106,243,2830,High
Twitter,37451,3564,1827,512,High
YouTube,8227,880,337,530,High
Instagram,32910,4247,1407,1885,High
Instagram,37041,6890,1739,1618,High
YouTube,89920,1225,464,4903,Medium
Instagram,66681,6708,1326,6012,High
YouTube,82571,11615,369,1952,High
Twitter,66481,9793,753,474,High
YouTube,69576,9850,851,6043,High
Instagram,65174,2316,1563,3899,Medium
YouTube,27160,1816,384,2433,High
Twitter,18633,1456,110,1149,High
Instagram,95880,15613,882,7858,High
Instagram,18014,1134,148,825,Medium
YouTube,81532,4079,3969,6215,High
Instagram,50104,9615,1914,4596,High
YouTube,42621,497,2063,2529,Medium
Twitter,78231,15613,1763,1734,High
YouTube,69388,9616,1015,2118,High
YouTube,17014,2848,682,406,High
YouTube,93578,6174,1589,2662,Medium
Instagram,34755,442,544,1185,Medium
Instagram,41390,6216,512,2389,High
YouTube,24711,4163,181,1503,High
Instagram,92658,13962,1257,4217,High
Instagram,58993,2191,1086,3743,Medium
Instagram,75696,11592,2575,965,High
Instagram,28213,4403,114,376,High
Instagram,58784,7943,665,1253,High
Instagram,8421,1309,342,456,High
YouTube,87936,15012,721,2227,High
YouTube,18727,2370,333,597,High
Twitter,5358,143,232,230,Medium
Twitter,66108,6785,567,5429,High
YouTube,95018,2352,480,600,Low
YouTube,33117,2895,819,2208,High
Instagram,89700,7835,1418,6148,High
Instagram,32910,741,941,2661,High
YouTube,99032,7553,3999,9270,High
YouTube,56754,1764,438,392,Low
Instagram,63438,10376,1868,1243,High
Instagram,30371,5772,782,2708,High
YouTube,52501,1246,423,2549,Medium
YouTube,61946,11860,1956,3632,High
YouTube,39467,4313,568,2683,High
Instagram,18625,1246,463,1294,High
YouTube,34893,858,175,3263,High
YouTube,77329,8128,1818,7710,High
Instagram,32007,5151,512,2349,High
YouTube,92302,13323,3811,2980,High
Instagram,40532,792,153,3590,Medium
YouTube,55253,1317,1188,534,Medium
YouTube,13323,1153,312,359,High
YouTube,74379,4916,2716,6712,High
Instagram,15210,823,443,446,Medium
Twitter,17456,1106,588,453,High
Twitter,32367,5264,1264,586,High
YouTube,55624,10376,2405,4817,High
Instagram,11106,965,181,583,High
YouTube,69008,12570,1888,4769,High
YouTube,73240,5206,3088,2029,High
Twitter,65315,6565,3231,5030,High
YouTube,70249,3719,3132,5423,High
YouTube,71587,9427,1374,2483,High
YouTube,11756,2304,124,517,High
YouTube,69011,8603,1723,1719,High
YouTube,37378,2914,1395,3654,High
Instagram,5255,699,132,348,High
Instagram,15484,516,382,1452,High
Twitter,57549,10292,2421,1946,High
Twitter,35503,3748,664,2814,High
YouTube,74794,7133,3225,5815,High
YouTube,46113,5594,965,3260,High
YouTube,75069,9662,1282,7261,High
Instagram,99117,2342,2304,4201,Medium
YouTube,6249,872,239,108,High
Instagram,20201,1130,144,1390,High
Instagram,59576,8677,632,4425,High
Instagram,10686,1776,508,637,High
Instagram,54363,8847,521,1339,High
YouTube,98543,11329,2839,5215,High
Twitter,1661,180,48,57,High
Instagram,45843,1702,1145,2090,Medium
YouTube,96673,15208,3150,6409,High
Twitter,61963,3814,759,4696,High
Instagram,43828,4574,1230,1186,High
Twitter,49604,3175,954,2158,High
Instagram,11526,408,385,352,Medium
Instagram,69910,9061,553,1668,High
YouTube,26592,540,770,2111,High
YouTube,29982,4564,302,2739,High
Instagram,1207,84,17,48,High
Instagram,89733,899,1051,6853,Medium
YouTube,99936,10704,995,9015,High
YouTube,69619,1315,2886,5944,High
Twitter,30328,1894,454,678,Medium
Twitter,47479,6852,2204,4550,High
Instagram,21103,462,1024,860,Medium
YouTube,40891,6929,1185,1522,High
YouTube,11754,126,94,128,Low
YouTube,82437,4690,1595,4219,High
Twitter,99540,15007,3990,1528,High
YouTube,73982,5185,1405,2116,Medium
Instagram,56922,1671,299,1998,Medium
YouTube,49231,3861,1392,4028,High
Instagram,30301,1859,1285,2671,High
Instagram,92652,15761,3706,3125,High
Twitter,63711,4430,610,5515,High
YouTube,42323,6767,1437,3658,High
YouTube,19752,3544,233,1533,High
YouTube,98912,9141,1156,1873,High
Twitter,83205,15217,3646,5872,High
Twitter,99452,8124,1316,9425,High
Instagram,14395,2780,200,1005,High
Instagram,86957,2344,89,3174,Medium
Instagram,57273,8048,2500,3009,High
YouTube,92878,9643,3699,6161,High
Twitter,5895,493,187,315,High
Instagram,77559,10099,2928,1271,High
YouTube,11699,1681,98,405,High
Instagram,66061,715,1549,5365,Medium
YouTube,10715,447,195,930,High
YouTube,20169,2934,112,363,High
Instagram,17163,2344,425,1638,High
YouTube,6782,1312,312,245,High
Instagram,89177,13786,264,6056,High
YouTube,85328,16267,1303,6521,High
YouTube,36585,5249,408,3004,High
YouTube,31682,2110,401,3004,High
YouTube,48864,1466,2223,1696,Medium
Instagram,85416,13542,2044,7393,High
YouTube,56114,7428,1338,982,High
Instagram,39067,748,1495,2811,High
Instagram,43685,3425,374,3297,High
Instagram,19073,3658,474,1323,High
Twitter,37035,3891,817,1072,High
Instagram,65977,6084,1995,5801,High
YouTube,91373,8859,4566,1922,High
YouTube,84362,4191,3265,851,Medium
YouTube,91517,7326,1875,6695,High
Instagram,66450,5333,2761,3333,High
YouTube,11382,227,106,975,Medium
Instagram,5437,847,13,225,High
Instagram,71971,6415,792,1510,High
YouTube,65612,10905,1160,5541,High
Instagram,91355,15673,2376,5220,High
YouTube,62929,3163,1959,1445,Medium
YouTube,98518,13289,4494,7234,High
Instagram,99864,9959,2594,5348,High
Instagram,13329,2362,340,831,High
Instagram,26169,1334,90,1276,Medium
Instagram,88468,12277,239,7407,High
YouTube,35594,4466,996,2983,High
Twitter,77957,5153,1751,5643,High
Instagram,61631,2215,2595,925,Medium
Instagram,46033,6159,408,3898,High
YouTube,64133,9641,142,4408,High
Instagram,74165,5189,1706,5281,High
YouTube,74861,9920,945,2955,High
YouTube,53290,4533,182,4717,High
Twitter,95031,13827,3469,7023,High
YouTube,32750,1567,211,514,Medium
Twitter,96155,17225,2962,4205,High
Instagram,41461,2678,612,3698,High
